,NAME,OWNERSHIP,LOCATION,ALIAS_NAME
1231,CARMEL MOUNTAIN OS,City of San Diego,,Carmel Mountain Open Space
1232,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1233,SYCAMORE CANYON OS,City of San Diego,,Sycamore Canyon Open Space
1234,SYCAMORE CANYON OS,City of San Diego,,Sycamore Canyon Open Space
1235,MISSION TRAILS OS,City of San Diego,,Mission Trails Open Space
1236,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1237,34TH ST CANYON OS,City of San Diego,,34th St Canyon Open Space
1238,MIRA MESA OS,City of San Diego,,Mira Mesa Open Space
1239,MISSION TRAILS OS,City of San Diego,,Mission Trails Open Space
1240,PARADISE CANYON PARK,City of San Diego,,Paradise Canyon Park
1241,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1242,SABRE SPRINGS OS,City of San Diego,,Sabre Springs Open Space
1243,SABRE SPRINGS OS,City of San Diego,,Sabre Springs Open Space
1244,UPTOWN OS,City of San Diego,,Uptown Open Space
1245,CARMEL VALLEY OS,City of San Diego,,Carmel Valley Open Space
1246,BLACK MOUNTAIN OS PARK,City of San Diego,,Black Mountain Open Space Park
1247,OTAY MESA OS,City of San Diego,,Otay Mesa Open Space
1248,MT WOODSON OS,City of San Diego,,Mt Woodson Open Space
1249,LA ZANJA CANYON OS,City of San Diego,,La Zanja Canyon Open Space
1250,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
1251,34TH ST CANYON OS,City of San Diego,,34th St Canyon Open Space
1252,34TH ST CANYON OS,City of San Diego,,34th St Canyon Open Space
1253,34TH ST CANYON OS,City of San Diego,,34th St Canyon Open Space
1254,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
1255,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1256,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
1257,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1258,CARMEL VALLEY OS,City of San Diego,,Carmel Valley Open Space
1259,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
