,NAME,OWNERSHIP,LOCATION,ALIAS_NAME
1301,OTAY MESA OS,City of San Diego,,Otay Mesa Open Space
1302,OCEAN VIEW HILLS OS,City of San Diego,,Ocean View Hills Open Space
1303,SOUTH BAY TERRACES OS,City of San Diego,,South Bay Terraces Open Space
1304,OTAY MESA OS,City of San Diego,,Otay Mesa Open Space
1305,LEXINGTON CANYON OS,City of San Diego,,Lexington Canyon Open Space
1306,SOLEDAD NATURAL OS PARK,City of San Diego,,Soledad Natural Open Space Park
1307,SABRE SPRINGS OS,City of San Diego,,Sabre Springs Open Space
1308,OTAY MESA OS,City of San Diego,,Otay Mesa Open Space
1309,NAVAJO CANYON OS PARK,City of San Diego,,Navajo Canyon Open Space Park
1310,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1311,FAMOSA SLOUGH,City of San Diego,,Famosa Slough
1312,MISSION TRAILS OS,City of San Diego,,Mission Trails Open Space
1313,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
1314,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
1315,32ND ST CANYON OS,City of San Diego,,32nd St Canyon Open Space
1316,SWITZER OS,City of San Diego,,Switzer Open Space
1317,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
1318,SAN PASQUAL TRAILS OS,City of San Diego,,San Pasqual Trails Open Space
1319,MISSION TRAILS OS,City of San Diego,,Mission Trails Open Space
1320,RANCHO PENASQUITOS OS,City of San Diego,,Rancho Penasquitos Open Space
1321,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
1322,BANKERS HILL CANYON OS,City of San Diego,,Bankers Hill Canyon Open Space
1323,CHOLLAS RADIO SYSTEM OS,City of San Diego,,Chollas Radio System Open Space
1324,ENCANTO EXPRESSWAY OS,City of San Diego,,Encanto Expressway Open Space
1325,34TH ST CANYON OS,City of San Diego,,34th St Canyon Open Space
1326,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1327,CARMEL VALLEY OS,City of San Diego,,Carmel Valley Open Space
1328,LA ZANJA CANYON OS,City of San Diego,,La Zanja Canyon Open Space
1329,TIERRASANTA OS,City of San Diego,,Tierrasanta Open Space
1330,MISSION TRAILS OS,City of San Diego,,Mission Trails Open Space
1331,ALBATROSS CANYON OS,City of San Diego,,Albatross Canyon Open Space
1332,OTAY MITIGATION SITE,City of San Diego,,Otay Mitigation Site
1333,OTAY MESA OS,City of San Diego,,Otay Mesa Open Space
1334,MISSION TRAILS OS,City of San Diego,,Mission Trails Open Space
1335,CARMEL VALLEY OS,City of San Diego,,Carmel Valley Open Space
1336,MISSION TRAILS OS,City of San Diego,,Mission Trails Open Space
1337,OTAY MESA OS,City of San Diego,,Otay Mesa Open Space
1338,TECOLOTE CANYON NATURAL OS PARK,City of San Diego,,Tecolote Canyon Natural Open Space Park
1339,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1340,MISSION TRAILS OS,City of San Diego,,Mission Trails Open Space
1341,MISSION TRAILS OS,City of San Diego,,Mission Trails Open Space
1342,NORTH CITY WEST OS,City of San Diego,,North City West Open Space
1343,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1344,CARMEL MOUNTAIN OS,City of San Diego,,Carmel Mountain Open Space
1345,34TH ST CANYON OS,City of San Diego,,34th St Canyon Open Space
1346,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
1347,MISSION TRAILS OS,City of San Diego,,Mission Trails Open Space
1348,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
1349,MID-CITY OS,City of San Diego,,Mid-City Open Space
1350,SHAW VALLEY OS,City of San Diego,,Shaw Valley Open Space
1351,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
1352,SHAW VALLEY OS,City of San Diego,,Shaw Valley Open Space
1353,TIERRASANTA OS,City of San Diego,,Tierrasanta Os
1354,OTAY VALLEY REGIONAL PARK,City of San Diego,,Otay Valley Regional Park
1355,OTAY VALLEY REGIONAL PARK,City of San Diego,,Otay Valley Regional Park
1356,OTAY VALLEY REGIONAL PARK,City of San Diego,,Otay Valley Regional Park
1357,OTAY VALLEY REGIONAL PARK,City of San Diego,,Otay Valley Regional Park
1358,MISSION TRAILS OS,City of San Diego,,Mission Trails Os
1359,MISSION TRAILS OS,City of San Diego,,Mission Trails Os
1360,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1361,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
1362,OTAY VALLEY REGIONAL PARK,City of San Diego,,Otay Valley Regional Park
1363,OTAY VALLEY REGIONAL PARK,City of San Diego,,Otay Valley Regional Park
1364,TECOLOTE CANYON NATURAL OS PARK,City of San Diego,,Tecolote Canyon Natural Open Space Park
1365,KENSINGTON/COLLEGE OS,City of San Diego,,Kensington/College Open Space
1366,TIERRASANTA OS,City of San Diego,,Tierrasanta Open Space
1367,MAPLE CANYON OS,City of San Diego,,Maple Canyon Open Space
1368,SWITZER OS,City of San Diego,,Switzer Open Space
1369,CYPRESS CANYON OS,City of San Diego,,Cypress Canyon Open Space
1370,NAVAJO CANYON OS PARK,City of San Diego,,Navajo Canyon Open Space Park
1371,ALBATROSS CANYON OS,City of San Diego,,Albatross Canyon Open Space
1372,CLEAR. SITE 641,City of San Diego,,Clear. Site 641
1373,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
1374,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1375,BLACK MOUNTAIN OS PARK,City of San Diego,,Black Mountain Open Space Park
1376,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1377,FAIRBANKS RANCH COUNTRY CLUB,City of San Diego,,Fairbanks Ranch Country Club
1378,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1379,MISSION TRAILS OS,City of San Diego,,Mission Trails Open Space
1380,SWITZER OS,City of San Diego,,Switzer Open Space
1381,TECOLOTE CANYON NATURAL OS PARK,City of San Diego,,Tecolote Canyon Natural Open Space Park
1382,34TH ST CANYON OS,City of San Diego,,34th St Canyon Open Space
1383,LEXINGTON CANYON OS,City of San Diego,,Lexington Canyon Open Space
1384,ENCANTO EXPRESSWAY OS,City of San Diego,,Encanto Expressway Open Space
1385,SWITZER OS,City of San Diego,,Switzer Open Space
1386,SAN PASQUAL TRAILS OS,City of San Diego,,San Pasqual Trails Open Space
1387,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1388,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1389,MID-CITY OS,City of San Diego,,Mid-City Open Space
1390,TECOLOTE CANYON NATURAL OS PARK,City of San Diego,,Tecolote Canyon Natural Open Space Park
1391,LEXINGTON CANYON OS,City of San Diego,,Lexington Canyon Open Space
1392,MAPLE CANYON OS,City of San Diego,,Maple Canyon Open Space
1393,32ND ST CANYON OS,City of San Diego,,32nd St Canyon Open Space
1394,CARMEL VALLEY CVREP,City of San Diego,,Carmel Valley Cvrep
1395,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
1396,MISSION TRAILS OS,City of San Diego,,Mission Trails Open Space
1397,TIERRASANTA OS,City of San Diego,,Tierrasanta Open Space
1398,BLACK MOUNTAIN OS PARK,City of San Diego,,Black Mountain Open Space Park
1399,MISSION TRAILS OS,City of San Diego,,Mission Trails Open Space
1400,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
1401,RANCHO MISSION CANYON OS,City of San Diego,,Rancho Mission Canyon Open Space
1402,BLACK MOUNTAIN RANCH OS,City of San Diego,,Black Mountain Ranch Open Space
1403,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
1404,SABRE SPRINGS OS,City of San Diego,,Sabre Springs Open Space
1405,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
1406,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1407,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1408,MIRA MESA OS,City of San Diego,,Mira Mesa Open Space
1409,CARMEL VALLEY OS,City of San Diego,,Carmel Valley Open Space
1410,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1411,ENCANTO PARK,City of San Diego,,Encanto Park
1412,SHAW VALLEY OS,City of San Diego,,Shaw Valley Open Space
1413,LA JOLLA OS,City of San Diego,,La Jolla Open Space
1414,TECOLOTE CANYON NATURAL OS PARK,City of San Diego,,Tecolote Canyon Natural Open Space Park
1415,SAN PASQUAL TRAILS OS,City of San Diego,,San Pasqual Trails Open Space
1416,MISSION HILLS OS PARK,City of San Diego,,Mission Hills Open Space Park
1417,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1418,SABRE SPRINGS OS,City of San Diego,,Sabre Springs Open Space
1419,DEL MAR MESA VERNAL POOL OS,City of San Diego,,Del Mar Mesa Vernal Pool Open Space
1420,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
1421,LA ZANJA CANYON OS,City of San Diego,,La Zanja Canyon Open Space
1422,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
1423,EUGENE PLACE OS,City of San Diego,,Eugene Place Open Space
1424,SOUTH BAY TERRACES OS,City of San Diego,,South Bay Terraces Open Space
1425,34TH ST CANYON OS,City of San Diego,,34th St Canyon Open Space
1426,DEL MAR MESA MITIGATION,City of San Diego,,Del Mar Mesa Mitigation
1427,MISSION VALLEY PRESERVE,City of San Diego,,Mission Valley Preserve
1428,CARMEL VALLEY OS,City of San Diego,,Carmel Valley Open Space
1429,34TH ST CANYON OS,City of San Diego,,34th St Canyon Open Space
1430,CYPRESS CANYON OS,City of San Diego,,Cypress Canyon Open Space
1431,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
1432,DEL MAR MESA OS,City of San Diego,,Del Mar Mesa Open Space
1433,CLEAR. SITE 397,City of San Diego,,Clear. Site 397
1434,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1435,TECOLOTE CANYON NATURAL OS PARK,City of San Diego,,Tecolote Canyon Natural Open Space Park
1436,BANKERS HILL CANYON OS,City of San Diego,,Bankers Hill Canyon Open Space
1437,TECOLOTE CANYON NATURAL OS PARK,City of San Diego,,Tecolote Canyon Natural Open Space Park
1438,MAPLE CANYON OS,City of San Diego,,Maple Canyon Open Space
1439,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
1440,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
1441,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
1442,SYCAMORE CANYON OS,City of San Diego,,Sycamore Canyon Open Space
1443,SYCAMORE CANYON OS,City of San Diego,,Sycamore Canyon Open Space
1444,SYCAMORE CANYON OS,City of San Diego,,Sycamore Canyon Open Space
1445,SYCAMORE CANYON OS,City of San Diego,,Sycamore Canyon Open Space
1446,SYCAMORE CANYON OS,City of San Diego,,Sycamore Canyon Open Space
1447,SWITZER OS,City of San Diego,,Switzer Open Space
1448,UPTOWN OS,City of San Diego,,Uptown Open Space
1449,MAPLE CANYON OS,City of San Diego,,Maple Canyon Open Space
1450,34TH ST CANYON OS,City of San Diego,,34th St Canyon Open Space
1451,CLEAR. SITE 535,City of San Diego,,Clear. Site 535
1452,MID-CITY OS,City of San Diego,,Mid-City Open Space
1453,CARMEL MOUNTAIN OS,City of San Diego,,Carmel Mountain Open Space
1454,SWITZER OS,City of San Diego,,Switzer Open Space
1455,CARMEL VALLEY OS,City of San Diego,,Carmel Valley Open Space
1456,CAMPUS POINT OS,City of San Diego,,Campus Point Open Space
1457,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
1458,SAN PASQUAL TRAILS OS,City of San Diego,,San Pasqual Trails Open Space
1459,OTAY MESA OS,City of San Diego,,Otay Mesa Open Space
1460,SABRE SPRINGS OS,City of San Diego,,Sabre Springs Open Space
1461,SABRE SPRINGS OS,City of San Diego,,Sabre Springs Open Space
1462,BLACK MOUNTAIN OS PARK,City of San Diego,,Black Mountain Open Space Park
1463,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
1464,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
1465,PENASQUITOS LAGOON OS,City of San Diego,,Penasquitos Lagoon Open Space
1466,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1467,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
1468,TIERRASANTA OS,City of San Diego,,Tierrasanta Open Space
1469,OTAY MESA OS,City of San Diego,,Otay Mesa Open Space
1470,LEXINGTON CANYON OS,City of San Diego,,Lexington Canyon Open Space
1471,34TH ST CANYON OS,City of San Diego,,34th St Canyon Open Space
1472,34TH ST CANYON OS,City of San Diego,,34th St Canyon Open Space
1473,MISSION TRAILS OS,City of San Diego,,Mission Trails Open Space
1474,34TH ST CANYON OS,City of San Diego,,34th St Canyon Open Space
1475,CHOLLAS RADIO SYSTEM OS,City of San Diego,,Chollas Radio System Open Space
1476,OTAY MESA OS,City of San Diego,,Otay Mesa Open Space
1477,SYCAMORE CANYON OS,City of San Diego,,Sycamore Canyon Open Space
1478,SYCAMORE CANYON OS,City of San Diego,,Sycamore Canyon Open Space
1479,SYCAMORE CANYON OS,City of San Diego,,Sycamore Canyon Open Space
1480,Salk Neighborhood Park & Joint Use Facility,City of San Diego,"Flanders Dr. & Parkdale Av., Southwest of",Salk Neighborhood Park & Joint Use Facility
1481,FAIRBANKS COUNTRY CLUB OS,City of San Diego,,Fairbanks Country Club Open Space
1482,KENSINGTON/COLLEGE OS,City of San Diego,,Kensington/College Open Space
1483,MISSION TRAILS OS,City of San Diego,,Mission Trails Open Space
1484,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1485,SABRE SPRINGS OS,City of San Diego,,Sabre Springs Open Space
1486,LUDINGTON HEIGHTS OS PARK,City of San Diego,,Ludington Heights Open Space Park
1487,SABRE SPRINGS OS,City of San Diego,,Sabre Springs Open Space
1488,SORRENTO HILLS OS,City of San Diego,,Sorrento Hills Open Space
1489,32ND ST CANYON OS,City of San Diego,,32nd St Canyon Open Space
1490,34TH ST CANYON OS,City of San Diego,,34th St Canyon Open Space
1491,SAN PASQUAL TRAILS OS,City of San Diego,,San Pasqual Trails Open Space
1492,CARMEL VALLEY OS,City of San Diego,,Carmel Valley Open Space
1493,MIRA MESA OS,City of San Diego,,Mira Mesa Open Space
1494,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1495,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
1496,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1497,OTAY MESA OS,City of San Diego,,Otay Mesa Open Space
1498,SWITZER OS,City of San Diego,,Switzer Open Space
1499,32ND ST CANYON OS,City of San Diego,,32nd St Canyon Open Space
1500,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1501,SHAW VALLEY OS,City of San Diego,,Shaw Valley Open Space
1502,34TH ST CANYON OS,City of San Diego,,34th St Canyon Open Space
1503,34TH ST CANYON OS,City of San Diego,,34th St Canyon Open Space
1504,34TH ST CANYON OS,City of San Diego,,34th St Canyon Open Space
1505,RANCHO PENASQUITOS OS,City of San Diego,,Rancho Penasquitos Open Space
1506,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
1507,DEL MAR MESA MITIGATION,City of San Diego,,Del Mar Mesa Mitigation
1508,32ND ST CANYON OS,City of San Diego,,32nd St Canyon Open Space
1509,CARMEL VALLEY OS,City of San Diego,,Carmel Valley Open Space
1510,SABRE SPRINGS OS,City of San Diego,,Sabre Springs Open Space
1511,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
1512,CAMPUS POINT OS,City of San Diego,,Campus Point Open Space
1513,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
1514,CHOLLAS RADIO SYSTEM OS,City of San Diego,,Chollas Radio System Open Space
1515,32ND ST CANYON OS,City of San Diego,,32nd St Canyon Open Space
1516,32ND ST CANYON OS,City of San Diego,,32nd St Canyon Open Space
1517,32ND ST CANYON OS,City of San Diego,,32nd St Canyon Open Space
1518,RANCHO PENASQUITOS OS,City of San Diego,,Rancho Penasquitos Open Space
1519,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
1520,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
1521,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
1522,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
1523,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1524,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
1525,ENCANTO EXPRESSWAY OS,City of San Diego,,Encanto Expressway Open Space
1526,CHOLLAS PARKWAY OS,City of San Diego,,Chollas Parkway Open Space
1527,LEXINGTON CANYON OS,City of San Diego,,Lexington Canyon Open Space
1528,MID-CITY OS,City of San Diego,,Mid-City Open Space
1529,MISSION HILLS OS PARK,City of San Diego,,Mission Hills Open Space Park
1530,34TH ST CANYON OS,City of San Diego,,34th St Canyon Open Space
1531,OTAY MESA OS,City of San Diego,,Otay Mesa Open Space
1532,UPTOWN OS,City of San Diego,,Uptown Open Space
1533,NAVAJO CANYON OS PARK,City of San Diego,,Navajo Canyon Open Space Park
1534,EUGENE PLACE OS,City of San Diego,,Eugene Place Open Space
1535,TIERRASANTA OS,City of San Diego,,Tierrasanta Open Space
1536,MISSION TRAILS OS,City of San Diego,,Mission Trails Open Space
1537,BLACK MOUNTAIN OS PARK,City of San Diego,,Black Mountain Open Space Park
1538,LEXINGTON CANYON OS,City of San Diego,,Lexington Canyon Open Space
1539,34TH ST CANYON OS,City of San Diego,,34th St Canyon Open Space
1540,BANKERS HILL CANYON OS,City of San Diego,,Bankers Hill Canyon Open Space
1541,MISSION TRAILS OS,City of San Diego,,Mission Trails Open Space
1542,34TH ST CANYON OS,City of San Diego,,34th St Canyon Open Space
1543,CHOLLAS RADIO SYSTEM OS,City of San Diego,,Chollas Radio System Open Space
1544,32ND ST CANYON OS,City of San Diego,,32nd St Canyon Open Space
1545,TALMADGE HILLSIDES OS,City of San Diego,,Talmadge Hillsides Open Space
1546,MID-CITY OS,City of San Diego,,Mid-City Open Space
1547,LEXINGTON CANYON OS,City of San Diego,,Lexington Canyon Open Space
1548,ENCANTO EXPRESSWAY OS,City of San Diego,,Encanto Expressway Open Space
1549,MCGONIGLE CANYON OS,City of San Diego,,Mcgonigle Canyon Open Space
1550,LEXINGTON CANYON OS,City of San Diego,,Lexington Canyon Open Space
1551,BLACK MOUNTAIN OS PARK,City of San Diego,,Black Mountain Open Space Park
1552,34TH ST CANYON OS,City of San Diego,,34th St Canyon Open Space
1553,UPTOWN OS,City of San Diego,,Uptown Open Space
1554,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
1555,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1556,MIRA MESA OS,City of San Diego,,Mira Mesa Open Space
1557,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1558,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
1559,TIERRASANTA OS,City of San Diego,,Tierrasanta Open Space
1560,MISSION TRAILS OS,City of San Diego,,Mission Trails Open Space
1561,LEXINGTON CANYON OS,City of San Diego,,Lexington Canyon Open Space
1562,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
1563,DEL MAR MESA OS,City of San Diego,,Del Mar Mesa Open Space
1564,TECOLOTE CANYON NATURAL OS PARK,City of San Diego,,Tecolote Canyon Natural Open Space Park
1565,CANYON VIEW PARK,City of San Diego,,Canyon View Park
1566,TIERRASANTA OS,City of San Diego,,Tierrasanta Open Space
1567,34TH ST CANYON OS,City of San Diego,,34th St Canyon Open Space
1568,TIERRASANTA OS,City of San Diego,,Tierrasanta Open Space
1569,OTAY MESA OS,City of San Diego,,Otay Mesa Open Space
1570,CHOLLAS RADIO SYSTEM OS,City of San Diego,,Chollas Radio System Open Space
1571,MID-CITY OS,City of San Diego,,Mid-City Open Space
1572,CHOLLAS RADIO SYSTEM OS,City of San Diego,,Chollas Radio System Open Space
1573,SABRE SPRINGS OS,City of San Diego,,Sabre Springs Open Space
1574,KENSINGTON/COLLEGE OS,City of San Diego,,Kensington/College Open Space
1575,TIERRASANTA OS,City of San Diego,,Tierrasanta Open Space
1576,NAVAJO CANYON OS PARK,City of San Diego,,Navajo Canyon Open Space Park
1577,CHOLLAS RADIO SYSTEM OS,City of San Diego,,Chollas Radio System Open Space
1578,TECOLOTE CANYON NATURAL OS PARK,City of San Diego,,Tecolote Canyon Natural Open Space Park
1579,KENSINGTON HILLSIDES OS,City of San Diego,,Kensington Hillsides Open Space
1580,MISSION TRAILS OS,City of San Diego,,Mission Trails Open Space
1581,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
1582,CARMEL VALLEY OS,City of San Diego,,Carmel Valley Open Space
1583,OTAY MESA OS,City of San Diego,,Otay Mesa Open Space
1584,DEL MAR MESA OS,City of San Diego,,Del Mar Mesa Open Space
1585,OTAY VALLEY REGIONAL PARK,City of San Diego,,Otay Valley Regional Park
1586,34TH ST CANYON OS,City of San Diego,,34th St Canyon Open Space
1587,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
1588,TIERRASANTA OS,City of San Diego,,Tierrasanta Open Space
1589,RANCHO MISSION CANYON OS,City of San Diego,,Rancho Mission Canyon Open Space
1590,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
1591,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1592,LA ZANJA CANYON OS,City of San Diego,,La Zanja Canyon Open Space
1593,TORREY HIGHLANDS VERNAL POOL OS,City of San Diego,,Torrey Highlands Vernal Pool Open Space
1594,RANCHO PENASQUITOS OS,City of San Diego,,Rancho Penasquitos Open Space
1595,MAPLE CANYON OS,City of San Diego,,Maple Canyon Open Space
1596,TIERRASANTA OS,City of San Diego,,Tierrasanta Open Space
1597,CARMEL VALLEY OS,City of San Diego,,Carmel Valley Open Space
1598,34TH ST CANYON OS,City of San Diego,,34th St Canyon Open Space
1599,OTAY VALLEY REGIONAL PARK,City of San Diego,,Otay Valley Regional Park
1600,CARMEL MOUNTAIN RANCH OS,City of San Diego,,Carmel Mountain Ranch Open Space
1601,MCGONIGLE CANYON OS,City of San Diego,,Mcgonigle Canyon Open Space
1602,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
1603,MAPLE CANYON OS,City of San Diego,,Maple Canyon Open Space
1604,CARMEL VALLEY OS,City of San Diego,,Carmel Valley Open Space
1605,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
1606,SABRE SPRINGS OS,City of San Diego,,Sabre Springs Open Space
1607,BLACK MOUNTAIN OS PARK,City of San Diego,,Black Mountain Open Space Park
1608,MISSION TRAILS OS,City of San Diego,,Mission Trails Open Space
1609,UNIVERSITY HEIGHTS OS PARK,City of San Diego,,University Heights Open Space Park
1610,FAIRBANKS COUNTRY CLUB OS,City of San Diego,,Fairbanks Country Club Open Space
1611,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1612,SHAW VALLEY OS,City of San Diego,,Shaw Valley Open Space
1613,MIRA MESA OS,City of San Diego,,Mira Mesa Open Space
1614,TIERRASANTA OS,City of San Diego,,Tierrasanta Open Space
1615,RANCHO MISSION CANYON OS,City of San Diego,,Rancho Mission Canyon Open Space
1616,34TH ST CANYON OS,City of San Diego,,34th St Canyon Open Space
1617,UPTOWN OS,City of San Diego,,Uptown Open Space
1618,DEL MAR MESA MITIGATION,City of San Diego,,Del Mar Mesa Mitigation
1619,MISSION VALLEY PRESERVE,City of San Diego,,Mission Valley Preserve
1620,MIRA MESA OS,City of San Diego,,Mira Mesa Open Space
1621,SWITZER OS,City of San Diego,,Switzer Open Space
1622,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1623,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1624,SWITZER OS,City of San Diego,,Switzer Open Space
1625,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1626,SABRE SPRINGS OS,City of San Diego,,Sabre Springs Open Space
1627,CARMEL VALLEY OS,City of San Diego,,Carmel Valley Open Space
1628,CARMEL VALLEY OS,City of San Diego,,Carmel Valley Open Space
1629,34TH ST CANYON OS,City of San Diego,,34th St Canyon Open Space
1630,ENCANTO PARK,City of San Diego,,Encanto Park
1631,SOLEDAD NATURAL OS PARK,City of San Diego,,Soledad Natural Open Space Park
1632,CARMEL VALLEY OS,City of San Diego,,Carmel Valley Open Space
1633,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1634,FAIRBANKS COUNTRY CLUB OS,City of San Diego,,Fairbanks Country Club Open Space
1635,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1636,ALBATROSS CANYON OS,City of San Diego,,Albatross Canyon Open Space
1637,TIERRASANTA OS,City of San Diego,,Tierrasanta Open Space
1638,SORRENTO HILLS OS,City of San Diego,,Sorrento Hills Open Space
1639,MIRA MESA OS,City of San Diego,,Mira Mesa Open Space
1640,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1641,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1642,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
1643,CARMEL VALLEY OS,City of San Diego,,Carmel Valley Open Space
1644,34TH ST CANYON OS,City of San Diego,,34th St Canyon Open Space
1645,CHOLLAS RADIO SYSTEM OS,City of San Diego,,Chollas Radio System Open Space
1646,CHOLLAS RADIO SYSTEM OS,City of San Diego,,Chollas Radio System Open Space
1647,32ND ST CANYON OS,City of San Diego,,32nd St Canyon Open Space
1648,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
1649,BLACK MOUNTAIN OS PARK,City of San Diego,,Black Mountain Open Space Park
1650,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1651,CARMEL MOUNTAIN OS,City of San Diego,,Carmel Mountain Open Space
1652,SHAW VALLEY OS,City of San Diego,,Shaw Valley Open Space
1653,CARMEL VALLEY OS,City of San Diego,,Carmel Valley Open Space
1654,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1655,MISSION VALLEY PRESERVE,City of San Diego,,Mission Valley Preserve
1656,MISSION TRAILS OS,City of San Diego,,Mission Trails Open Space
1657,OTAY MITIGATION SITE,City of San Diego,,Otay Mitigation Site
1658,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1659,MID-CITY OS,City of San Diego,,Mid-City Open Space
1660,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1661,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
1662,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
1663,CARMEL VALLEY OS,City of San Diego,,Carmel Valley Open Space
